root_id,primary_type,additional_type(s)
720575940603943456,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940603943648,CB1586,
720575940603944382,CB1369,
720575940603944672,LC9,
720575940603948716,Tm36,
720575940603948832,TmY11,
720575940603949024,LC10a,LC10
720575940603951806,CB2610,
720575940603952608,CB0154,PVLP095
720575940603956838,CB1772,
720575940603957694,CB2432,
720575940603962214,LC10d,LC10
720575940603964774,ER4d,
720575940603974880,SMP332b,SMP332
720575940603975392,LC28a,LC28b
720575940603976672,CL258,
720575940603977062,PLP042b,PLP042
720575940603979488,LC41,
720575940603980256,oviDNb,
720575940603981536,AVLP048,
720575940603984486,KCab,KCab-s
720575940603985952,D_adPN,
720575940603987390,L4,
720575940603988838,KCab,KCab-c
720575940603989420,LPLC2,
720575940603996081,SLP405,
720575940604007392,MeTu4c,"MeTu4, MC61, MC64"
720575940604008160,CB1686,
720575940604008672,KCg-m,
720575940604009062,Tm1,
720575940604009952,PS061,
720575940604010412,MTe50,
720575940604012134,TmY11,
720575940604013926,T2a,
720575940604014112,Dm11,
720575940604014508,PS292,
720575940604016608,LPLC1,
720575940604018208,LB3,
720575940604019424,hDeltaA,
720575940604021425,CB2620,
720575940604023980,aMe5,
720575940604024934,TmY31,TmYem1
720575940604027168,LB1a,
720575940604030176,LTe48,IB019
720575940604030566,CB2353,
720575940604030636,LLPC3,
720575940604031678,LAL150a,LAL150
720575940604033708,FS1A,FS1B
720575940604038880,Tm2,
720575940604045484,LLPC2,"LLPC2a, LLPC2b, LLPC2c, LLPC2d"
720575940604050110,KCab,KCab-m
720575940604054188,JO-B,
720575940604056544,AVLP218a,AVLP218
720575940604058540,LC21,
720575940604064958,FC2C,
720575940604065470,FC1D,FC1E
720575940604067761,FC3,
720575940604070078,Li17,CB3830
720575940604074174,CB.FB7D0,
720575940604074854,CB0125,
720575940604076734,CB2129,
720575940604076990,Tm3,
720575940604079532,CB2774,
720575940604080318,Tm9,
720575940604081836,cLP02,
720575940604084704,T5b,
720575940604086496,L5,
720575940604087230,Tm5e,CB3864
720575940604088288,AVLP016,
720575940604091308,AN_GNG_AVLP_1,
720575940604093984,KCg-m,
720575940604094240,Tm1,
720575940604096614,LC24,CB3848
720575940604099006,CB3865,
720575940604100785,CB2396,
720575940604101310,TmY5a,
720575940604102880,SMP461,
720575940604103084,DNp33,SAD095
720575940604103200,KCg-m,
720575940604104625,PS209,
720575940604105137,T5b,
720575940604106272,PS087,
720575940604110513,hDeltaB,
720575940604113442,Y3,
720575940604114604,CB3011,aIP2
720575940604119842,T1,
720575940604121004,LLPC1,
720575940604121278,Dm15,
720575940604122982,JO-EDM,
720575940604125105,FC1D,FC1E
720575940604125286,LC13,
720575940604125886,FS4A,"FS4B, FS4C"
720575940604125920,LC10e,LC10
720575940604126129,KCg-m,
720575940604130481,CB1267,
720575940604131296,KCg-m,
720575940604132710,KCab,KCab-m
720575940604134577,CB1207,
720575940604139180,PLP071,
720575940604142453,T4c,
720575940604147633,CB2835,LHAV4e7
720575940604150560,CB0444,
720575940604151008,Mi1,
720575940604151520,Tm1,
720575940604157361,PFNm,PFNp
720575940604160172,AOTU062,pIP14
720575940604163761,SLP290,
720575940604165856,VES007,
720575940604167712,CB0327,
720575940604168224,KCapbp-ap1,KCab-ap1
720575940604174438,CB2987,LHPV5a3
720575940604174882,Tm2,
720575940604175394,Mi15,
720575940604179372,T5b,
720575940604180140,T4b,
720575940604182374,KCapbp-m,KCab-m
720575940604183654,Tm2,
720575940604187616,Dm10,
720575940604188384,Tm5c,
720575940604191200,SA_DMT_ADMN_7,
720575940604191456,Mi1,
720575940604192992,T5d,
720575940604195360,FS4A,"FS4B, FS4C"
720575940604196064,PS034,
720575940604198828,T4a,
720575940604199596,Tm27,TmY18
720575940604200364,T3,
720575940604201830,WV-WV-3,
720575940604209580,Mi4,
720575940604210976,BM_InOm,
720575940604211744,BM_InOm,
720575940604212396,LLPC1,
720575940604212838,LC13,
720575940604213937,L4,
720575940604217534,BM_InOm,
720575940604218028,T2a,
720575940604221356,T5c,
720575940604222944,CB1262,
720575940604228454,CB1996,
720575940604229152,LC15,
720575940604236768,BM_InOm,
720575940604238513,Dm18,
720575940604238816,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940604240230,FS3,
720575940604240416,CB3283,
720575940604241510,labial_nerve_sensory_descending,
720575940604243902,CB1324,
720575940604246304,SLP387,
720575940604247468,Tm27,TmY18
720575940604247985,CB2055,
720575940604248032,T2,
720575940604249790,KCg-d,
720575940604249824,BM_InOm,
720575940604250214,CB1331,
720575940604255712,Mi1,
720575940604256102,CL091,
720575940604257638,BM_InOm,
720575940604265440,Dm3v,Dm3
720575940604267622,AVLP219a,AVLP219
720575940604268134,CB1466,
720575940604268972,LC22,
720575940604272672,BM_InOm,
720575940604273632,BM_InOm,
720575940604274534,CB1100,
720575940604274622,JO-B,
720575940604276652,AN_AVLP_PVLP_5,hb-1197455013
720575940604278705,TuBu07,
720575940604281120,LC11,
720575940604281888,BM_InOm,
720575940604284128,DNpe009,PS226
720575940604284337,WEDPN7B,
720575940604285105,CB2795,
720575940604285356,CB3513,
720575940604288172,Tm9,
720575940604292710,PLP055,
720575940604299454,JO-FDA,
720575940604304561,KCapbp-ap1,KCab-ap1
720575940604304742,MeTu3b,"MeTu3, MC61, MC64"
720575940604307936,C3,
720575940604308401,mAL,"mAL1, mAL2A, mAL2B, mAL3A, mAL3B, mAL4, mAL5A, mAL5B, mAL6"
720575940604318129,KCab,KCab-s
720575940604319078,KCapbp-ap1,KCab-ap1
720575940604323808,T5c,
720575940604324017,LC6,
720575940604324320,T5c,
720575940604324576,T4b,
720575940604330854,CB1780,
720575940604332460,CB2423,
720575940604336049,T2a,
720575940604337632,T4b,
720575940604337696,LC16,
720575940604340448,BM_vOcci_vPoOr,
720575940604341216,LHPV2e1_a,
720575940604341280,Tm3,
720575940604345632,MeTu2a,"MeTu2, MC61, MC64"
720575940604349630,CB.FB6C2,FB6R
720575940604351078,cLP02,
720575940604352172,DA4m_adPN,
720575940604352689,ORN_DL5,
720575940604364222,CB2149,
720575940604367294,BM_InOm,
720575940604370604,PVLP090,
720575940604372070,CB3560,
720575940604381886,LC12,
720575940604383008,s-CPDN3C,CB2438
720575940604383776,T4a,
720575940604386594,T4a,
720575940604389054,LC10a,LC10
720575940604389344,CB1990,
720575940604391904,T3,
720575940604395436,SLP212a,SLP212
720575940604395622,SMP284a,SMP284
720575940604396209,CB1094,
720575940604398816,LHAV4a1_b,
720575940604401342,LC11,
720575940604402092,KCab,KCab-m
720575940604403628,VP5+_l2PN,VP5+VP2_l2PN
720575940604404425,PEG,
720575940604404913,BM_InOm,
720575940604407008,Tlp1,
720575940604407072,Tm3,
720575940604407468,DA1_lPN,aDT3
720575940604411616,T5b,
720575940604412192,CB2737,
720575940604412588,M_lPNm11A,
720575940604412896,T5c,
720575940604413664,T5b,
720575940604414636,VP5+_l2PN,VP5+VP2_l2PN
720575940604415148,T2a,
720575940604418988,M_spPN5t10,
720575940604418993,CB2605,
720575940604420832,Dm10,
720575940604425644,BM_Hau,
720575940604425696,Y11,CB3846
720575940604426412,LC24,
720575940604427180,CB3660,
720575940604427232,T5b,
720575940604427552,Mi1,
720575940604431584,VA3_adPN,
720575940604432864,T5a,
720575940604434092,CB0340,
720575940604435046,KCab-p,
720575940604435061,T4b,
720575940604435814,Dm3p,Dm3
720575940604436720,T4d,
720575940604437094,TmY3,
720575940604437792,Tm1,
720575940604438048,T2,
720575940604439072,ORN_DM5,
720575940604444081,CB.FB2E9,
720575940604445868,CB1090,aSP10a
720575940604447148,CB1089,
720575940604447520,Mi15,
720575940604450732,CB3034,
720575940604451505,CB.FB5F0,FB5H
720575940604452384,Dm15,
720575940604453408,Tm3,
720575940604455340,Tlp1,
720575940604456108,AOTU039,
720575940604456364,PS213,
720575940604456876,CB1989,
720575940604457200,T5c,
720575940604458668,CB0593,
720575940604458720,CB1618,
720575940604459697,CB1488,
720575940604466912,KCab,KCab-m
720575940604467488,Tm4,
720575940604470188,Mi1,
720575940604470240,CB0626,hb-5813083315
720575940604470956,DNg63,
720575940604471473,CB1324,
720575940604474028,LAL104,LAL105
720575940604474982,T4a,
720575940604476774,C3,
720575940604477100,PS005,
720575940604478065,T4b,
720575940604478176,KCg-m,
720575940604479590,PAM08,
720575940604479660,PLP173,
720575940604480870,Sm13,
720575940604481760,4D2,"CB.FB3, FB4P_a"
720575940604481964,PS193a,PS193
720575940604483040,KCapbp-ap1,KCab-ap1
720575940604484454,Tm27,TmY18
720575940604485222,Sm01,
720575940604486880,SMP123b,SMP123
720575940604487456,T3,
720575940604487968,T5d,
720575940604488672,s-CPDN3D,CB2587
720575940604489649,KCapbp-ap2,KCab-ap2
720575940604493024,KCg-m,
720575940604494694,Tm9,
720575940604495537,T5d,
720575940604497888,KCg-d,
720575940604498022,Tm2,
720575940604498208,PFNm,PFNp
720575940604499936,ORN_VA1d,
720575940604500448,KCab,KCab-s
720575940604500960,LC10d,LC10
720575940604504748,WED100,
720575940604505278,KCab-p,
720575940604508332,Mi1,
720575940604508960,T2a,
720575940604509374,KCab,KCab-s
720575940604510892,LC10c,LC10
720575940604511776,T5c,
720575940604515006,LCe03,
720575940604516710,Sm10,
720575940604517809,CB0958,
720575940604518432,PFNv,
720575940604518944,PFNm,PFNp
720575940604519014,T3,
720575940604521440,C3,
720575940604521952,T4c,
720575940604524465,BM_InOm,
720575940604525792,L1,
720575940604527038,Tm36,
720575940604529580,Tm20,
720575940604531229,JO-B,
720575940604532913,WED038b,WED038
720575940604533862,Mi2,
720575940604536934,Tm7,CB3851
720575940604539825,WED102,WED103
720575940604541798,Tm1,
720575940604542176,CRE005,
720575940604543968,CL269,
720575940604544358,T5a,
720575940604550590,KCapbp-ap2,KCab-ap2
720575940604550944,Mi15,
720575940604552894,ORN_VL1,
720575940604553150,Tm21,Tm6
720575940604553504,LMa4,
720575940604557792,KCab,KCab-m
720575940604559811,R1-6,
720575940604561510,Tm3,
720575940604561766,PFNm,PFNp
720575940604564512,Mi13,
720575940604565280,T4a,
720575940604565350,CRE027,
720575940604566449,CB2051,
720575940604567486,T4d,
720575940604568521,lLN13,
720575940604569824,AVLP082,
720575940604575712,CB3410,
720575940604576689,KCab,KCab-s
720575940604578732,TmY31,TmYem1
720575940604579500,TmY31,TmYem1
720575940604581152,CB2384,
720575940604584113,Tm5e,CB3864
720575940604584416,LTe31,hb-5813133355
720575940604584672,L5,
720575940604585504,T2a,
720575940604585662,L3,
720575940604585760,TmY11,
720575940604589856,CB1395,
720575940604590048,LB3,
720575940604590304,CB3858,
720575940604590880,L4,
720575940604592160,Tm1,
720575940604597536,LTe38a,PLP152
720575940604598974,T1,
720575940604599654,L5,
720575940604601022,LC11,
720575940604605030,C3,
720575940604607678,Mi1,
720575940604607689,CB3858,
720575940604609056,LPLC4,
720575940604609201,Mi9,
720575940604609504,CB2433,
720575940604610225,T2,
720575940604612286,Tm27,TmY18
720575940604612832,hDeltaG,
720575940604614060,Dm3q,Dm3
720575940604615014,CB2563,
720575940604616806,LTe58,PLP153
720575940604618417,T5a,
720575940604620512,KCab,KCab-s
720575940604621251,R1-6,
720575940604622453,T4c,
720575940604624049,Sm04,
720575940604624096,L3,
720575940604624574,M_lvPNm48,
720575940604624998,PVLP113,
720575940604626912,KCab,KCab-c
720575940604627889,Tm4,
720575940604628158,Tm5a,
720575940604628192,CB3050,
720575940604629681,T5c,
720575940604630240,KCg-m,
720575940604630496,KCab,KCab-m
720575940604630560,LC11,
720575940604630752,Mi4,
720575940604632753,Dm3v,Dm3
720575940604634592,Mi4,
720575940604635253,T4c,
720575940604635616,L1,
720575940604636021,T4c,
720575940604636789,T4c,
720575940604637045,T4d,
720575940604637617,TmY4,
720575940604640480,Tm5f,Tm5Y
720575940604640945,T4a,
720575940604641504,T2a,
720575940604643872,LC18,
720575940604645478,ORN_VA6,
720575940604646316,LC15,
720575940604646368,T2,
720575940604649504,CB1128,
720575940604650174,CB3050,
720575940604650464,C2,
720575940604652512,T4d,
720575940604653484,CB0466,
720575940604654048,C2,
720575940604657888,T3,
720575940604658366,CB1708,
720575940604658912,Tm4,
720575940604659424,Dm3q,Dm3
720575940604659884,Pm01,Pm1
720575940604660401,Dm16,CB3849
720575940604661472,L2,
720575940604662444,ORN_VM3,
720575940604662700,CB1668,
720575940604663520,CB2861,
720575940604664800,Tm9,
720575940604665009,Dm3p,Dm3
720575940604666336,T5c,
720575940604667825,PFNm,PFNp
720575940604668094,Tm9,
720575940604671200,Dm10,
720575940604672870,LAL093,
720575940604675430,ORN_VM7d,
720575940604678880,Dm8b,Dm8
720575940604679664,T4d,
720575940604681830,LC9,
720575940604682412,Tm16,
720575940604682976,CB0997,
720575940604684209,Y3,
720575940604684460,Y3,
720575940604685513,CB3263,
720575940604685740,Tm2,
720575940604687532,Mi1,
720575940604690278,LAL098,
720575940604692070,Mi9,
720575940604692354,AOTU060,pIP14
720575940604692704,C3,
720575940604694496,T5a,
720575940604694974,T2a,
720575940604698633,Mi9,
720575940604699120,T4b,
720575940604699825,T4d,
720575940604700006,ORN_VC5,ORN_VC3m
720575940604700384,Tm7,CB3851
720575940604701374,SIP034,
720575940604704870,ORN_VC4,
720575940604704940,T5d,
720575940604705312,CB2282,
720575940604705481,AN_GNG_204,
720575940604706592,CB2433,
720575940604708832,P1-9,
720575940604709152,MTe04,
720575940604709920,FC2A,
720575940604711392,Tm20,
720575940604712113,Mi14,
720575940604712688,T4a,
720575940604713184,CB1387,
720575940604714208,LHAD1d2,
720575940604714464,LHPD4d1,
720575940604714528,LB1a,
720575940604714929,Mi1,
720575940604715744,T2a,
720575940604717233,Mi15,
720575940604720096,Mi2,Mi13
720575940604721120,Tm20,
720575940604721376,Tm20,
720575940604721632,T3,
720575940604722244,R1-6,
720575940604722622,Y3,
720575940604723424,L5,
720575940604725606,LC18,
720575940604727264,DNge020,
720575940604728009,Mi1,
720575940604728800,PAM13,
720575940604729056,CB0170,
720575940604729312,DNge094,
720575940604731308,BM_InOm,
720575940604731569,T5c,
720575940604731838,CB1202,
720575940604732350,CB1294,
720575940604732640,T5d,
720575940604733216,Mi2,
720575940604734641,Tm2,
720575940604735660,CB0049,
720575940604736544,CB2259,
720575940604737708,DNa02,
720575940604738016,L1,
720575940604738225,Tm5c,
720575940604738737,T4d,
720575940604740832,L4,
720575940604741809,T3,
720575940604744625,Tm2,
720575940604745346,CB1145,
720575940604745456,T4a,
720575940604747744,Tm37,
720575940604747878,LAL146,
720575940604747953,L1,
720575940604748134,CL004,
720575940604748768,Mi4,
720575940604749758,LC16,
720575940604753254,CB1552,
720575940604753437,JO-CL,
720575940604753836,CB2835,LHAV4e7
720575940604754144,Dm8a,Dm8
720575940604754534,SMP104,"SMP105, SMP107"
720575940604756000,CL340,
720575940604759910,CL165,
720575940604762028,CB1776,
720575940604763326,AVLP257,
720575940604763360,Mi13,
720575940604763494,BM_InOm,
720575940604764862,CB3312,
720575940604766153,KCab,KCab-m
720575940604766688,T4c,
720575940604767618,Tm16,
720575940604770249,KCab,KCab-m
720575940604771174,SMP408_a,
720575940604772576,CB1233,
720575940604774572,T5a,
720575940604778156,T5b,
720575940604778673,Mi13,
720575940604781158,JO-F,
720575940604781490,T5b,
720575940604782764,T5c,
720575940604783136,DNg56,
720575940604786720,LC33a,LC33b
720575940604786860,Mi15,
